key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords
06df03fc-8973-490c-af74-089fffae9e24	Free-living marine Nematodes from San Julián bay (Santa Cruz, Argentine), 2009.	b62390e0-0e35-11d9-8431-b8a03c50a862	CCT CONICET-CENPAT Centro Científico Tecnológico	marine
12ccff8a-cfa8-46f8-a8b0-c6da39cb8910	CMarZ (Census of Marine Zooplankton)-Asia Database	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine, plankton
5d01caac-c0b4-4385-a494-d71067ce70c3	Institute of Marine Affairs Marine Reference Collection	215671db-9a23-4cb0-9d3b-060dc7d7c65d	Institute of Marine Affairs	marine
4caa2abf-8e32-4c4d-9b61-1c9b470718ce	Marine Turtles	f3bdbee7-8978-4bfc-bd3b-20650fee8fac	Marine Environmental Monitoring	marine
85ad6c96-f762-11e1-a439-00145eb45e9a	AWI-Herbarium Marine Macroalgae	497688a0-59d6-11db-893e-b8a03c50a862	Biological Institute Helgoland (BAH) in the Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research	marine
37a1816f-d4fd-4d30-bf74-72ca5bf0eb90	Marine Species Records from Skomer Marine Conservation Zone (MCZ) Marine Monitoring Programme	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine
520237b3-b0b3-47b5-90e1-af12098d6128	Marine Records from Pembrokeshire Marine Species Atlas	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine
75f5d7fa-4f2b-4f97-8ca1-3a36f47a15bc	KiEco Marine Ecology: Marine Benthic Invertebrates	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, benthic
686c1b9b-5f29-4e1f-8c28-f9779d264579	Porcupine Marine Natural History Society Dataset	f0a23325-1a1d-4b4c-a192-63765963d0a4	Porcupine Marine Natural History Society	marine
79e21918-887b-4b40-9305-abc5f57494dd	Biodiversity of Luiz Saldanha Marine Park	54a7048f-6d1f-468e-bd38-a585e05ca24d	Centre of Marine Sciences	marine
8b1d38b0-a8bf-43b1-9ac9-d3198e694769	Global distribution of marine forests [herbaria records]	54a7048f-6d1f-468e-bd38-a585e05ca24d	Centre of Marine Sciences	marine
dc9dc0fe-517f-460f-a649-eae2340ba108	Global distribution of marine forests [literature records]	54a7048f-6d1f-468e-bd38-a585e05ca24d	Centre of Marine Sciences	marine
b0722e5f-119a-4f47-935f-b54f34d13f9b	Distribution of marine forests based on citizen science	54a7048f-6d1f-468e-bd38-a585e05ca24d	Centre of Marine Sciences	marine
948c51dd-066e-4cdb-9554-d0ac54afb128	Avistamientos de Biodiversidad Marina  /  Marine Biodiversity Sightings	d54819fb-3423-49b9-bac4-5ac1624f9070	SEAK S.A.S	marine
27c33480-3aab-46c5-8aa3-684800a52326	KiEco Marine Ecology: Marine Phytoplankton	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, plankton
2a957243-2630-4f72-81e7-3c68f8f79e63	KiEco Marine Ecology: Marine Phytoplankton	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, plankton
18b7c5c7-9814-4dc4-a8aa-833e91969358	Marine bottom organisms in prospective marine protected area Froan-Sularevet, Norway	620e3d31-d433-4154-9cf6-232a6a6b5e3f	Akvaplan-niva	marine
03428ad0-492b-495b-80ad-5b5376f238ba	Virginia Institute of Marine Science Invertebrate Collection	8862ef90-cb69-498c-b8ea-c15f8f7cdd07	Virginia Institute of Marine Science	marine
0f6311c5-19a4-482a-a0bf-cbfe217a355d	Irish Marine Turtle Records	d2b97690-bfd6-11de-b279-d52977ace833	National Biodiversity Data Centre	marine
0f6d26c0-c645-4f15-b1c9-fbcb77515545	University of Miami, Voss Marine Invertebrate Collections	5624d6f9-a94b-42c4-8814-a587e7e5e6f0	Rosenstiel School, University of Miami Voss Marine Invertebrate Collection	marine
60de59a4-c428-4d49-873d-b117bea1fcc9	Ulster Museum Marine Surveys	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine
7aecd33c-f762-11e1-a439-00145eb45e9a	Marine Plants (NHMC-SA)	7d1bc440-e60c-11dc-af9e-b8a03c50a862	Chungnam University Natural History Museum	marine
8f77a6c5-7ad6-4c73-847c-0e2119c2fa4f	KiEco Ecology: Marine Fish	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, fish
88719a30-6c9f-4a64-979e-f5436e93ec50	Cadre d'acquisition personnel de Parion Marine-Jeu de données personnel de Parion Marine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	marine
5917b056-7a54-4cd9-b73c-3e6c41079862	Cadre d'acquisition personnel de Zimmer Marine-Jeu de données personnel de Zimmer Marine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	marine
59407d0a-3dfc-4384-a767-b45bf177fdb9	Ulster University Marine Research Data	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine, sea
